timestamp,interaction_step,episodic_reward,episode_intervention,intervention_rate,policy_freq_hz,policy_freq_90p_hz
3672.0,31494,1.263128,,,142.28767955133006,122.42911109311237
3680.0,31568,0.154641,,,148.5741371188661,121.22455076760333
3691.0,31658,1.282030,,,142.90430490816738,121.54006281761568
3699.0,31735,1.219031,,,150.03798240831753,125.01739305001401
3707.0,31805,1.250012,,,149.60628285455238,130.9858657779944
3712.0,31836,1.141909,,,148.02634563362255,128.37514297088885
3718.0,31885,0.138421,,,153.17078944974614,130.95499506279245
3725.0,31947,1.228235,,,152.66250913644487,132.09313553878448
3734.0,32027,1.214521,,,142.84070316698757,120.01439213262802
3741.0,32088,1.233169,,,149.22838697922722,129.67716351596962
3746.0,32121,0.088139,,,147.1257486972315,120.6784533026328
3751.0,32164,1.159327,,,152.85070311607052,132.53897952610453
3758.0,32222,1.217789,,,152.17110358075146,129.97170190897452
3766.0,32296,1.228481,,,146.801635639531,122.87154537362161
3774.0,32365,1.182522,,,146.08806120091282,128.6999763039103
3780.0,32413,1.170065,,,141.94649987473338,117.67485085452198
3789.0,32488,1.171363,,,149.11369829722398,127.37709867835939
3796.0,32550,1.188653,,,145.30755863425745,124.70208204812138
3802.0,32604,1.192411,,,147.1765326915084,118.25177754740936
3806.0,32633,1.133085,,,151.32021092004717,130.20226400723467
3814.0,32697,1.184248,,,148.1195456472592,120.17170806977614
3822.0,32768,1.196291,,,157.9705256917432,134.73039773806713
3829.0,32829,1.226607,,,153.86349249651508,128.81382306402884
3836.0,32884,0.159078,,,149.43132834789677,127.84874163605785
3843.0,32942,1.206010,,,145.74244553852589,127.34034685625168
3851.0,33013,1.180463,,,146.48195707215717,121.14061153908912
3862.0,33112,0.213665,,,145.63918823322427,128.636753989397
3869.0,33176,0.153452,,,157.9905185939579,137.73316607312785
3876.0,33229,1.171867,,,151.94342390428648,133.8553621100544
3884.0,33299,0.208153,,,148.3477601862129,126.86868052210893
3890.0,33353,1.167065,,,151.6219680009377,130.82418476595277
3901.0,33452,0.156540,,,154.18227503995982,135.88238543441386
3912.0,33551,0.328942,,,147.90074279517322,127.43232628781026
3917.0,33584,1.159010,,,149.1793562280504,130.14110731834543
3928.0,33683,0.166645,,,146.66004871274885,123.11793005939387
3939.0,33782,0.118842,,,154.52242393620898,129.83437651073172
3950.0,33880,0.307085,,,149.8443836257143,127.07365461285963
3961.0,33979,0.219826,,,151.35268827894433,132.1064204848505
3972.0,34078,0.145773,,,148.6282778718757,127.61372693128118
3983.0,34177,0.183509,,,150.12258760215045,128.39271324745107
3994.0,34276,0.126990,,,142.8107386390311,115.68866477381236
4005.0,34375,0.129715,,,155.1748751879884,131.32174336307116
4016.0,34474,0.090504,,,148.6444459837625,128.63316330404595
4027.0,34573,0.172264,,,151.2368516354476,131.48161982957032
4038.0,34665,0.167253,,,143.88464140230042,110.59539128689262
4049.0,34764,0.144403,,,146.20520232680147,120.21381325244805
4060.0,34863,0.126798,,,148.0028455666666,124.20236311319665
4067.0,34918,0.116857,,,151.74702305565546,130.22512355240931
4072.0,34956,0.111506,,,140.96189219838766,124.4979092672809
4077.0,35003,1.181360,,,144.9768104644566,125.57527918537633
4088.0,35102,0.159037,,,146.6250286344184,115.91688880138815
4093.0,35138,0.068366,,,144.13072714703637,118.25305004840403
4104.0,35237,0.217446,,,151.6710235512621,129.16758235040965
4114.0,35328,1.275490,,,154.55746072547885,134.53767875116057
4119.0,35369,1.166678,,,150.93483107206325,133.2937362110937
4125.0,35415,0.086171,,,144.38836261005707,120.33892737156876
4130.0,35458,1.169780,,,155.68808706938563,136.28370472796914
4138.0,35519,1.172479,,,151.4868370985286,132.05716807752523
4144.0,35571,1.199324,,,155.73835271412773,138.3146238552894
